Area,Perimeter,Eccentricity,Orientation,MajorAxisLength,MinorAxisLength,CentroidX,CentroidY,MeanR,MeanG,MeanB,StdR,StdG,StdB,RelacionAspecto,Circularidad,Compacidad,Etiqueta,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,Area_Scale,Perimeter_Scale,MajorAxisLength_Scale,MinorAxisLength_Scale,CentroidX_Scale,CentroidY_Scale,Circularidad_Scale,Compacidad_Scale,BoundingBox_Scale_1,BoundingBox_Scale_2,BoundingBox_Scale_3,BoundingBox_Scale_4,Clase,NombreImagen
37028,722.908,0.36422917119883,17.7477997145204,227.214123812511,211.606638623523,2029.71651182889,1486.79307551042,78.1600140434266,73.5737009830399,71.7534298368802,41.276297803115,39.1075171203719,31.5874013494696,1.07375706778631,0.890377255211312,14.1135350670844,7,1913.5,1380.5,236,226,1.9241576764651,5.21152695308242,1.65619458523524,1.50856370502319,14.7948791212796,10.5994882069144,0.890267553269167,14.1152741871968,13.9477611940299,9.84171483622351,1.72023602915654,1.6111753371869,frejol_rojo,img1.jpeg
26992,658.694,0.893272121076853,45.6186623504044,277.486071661637,124.734516476081,2222.5536455246,481.718916716064,74.9208654416123,70.6983550681683,71.9377593360996,35.7965120797676,35.9650475223819,30.0130024035887,2.22461335884401,0.781767324468062,16.0743103747777,8,2112.5,370.5,215,218,1.40263757165242,4.74860083832752,2.02263363585365,0.889244144434486,16.2004951600196,3.43421963747483,0.781671004179895,16.0762911086147,15.3982992016661,2.64132947976879,1.56716417910448,1.55414258188825,frejol_rojo,img1.jpeg
33494,685.452,0.738986315858665,38.554599095312,252.642240722894,170.210240401149,391.756016002866,525.471457574491,77.3869946856153,66.7526422642861,67.2519854302263,31.2995061658092,33.7846434496156,27.2306432954461,1.48429518768948,0.895824187047353,14.0277197200693,1,278.5,426.5,232,202,1.5586722006612,4.67600700158114,1.7158755029692,1.16625535089676,2.66069739199877,3.60045257967707,0.895806786315338,14.0279922035951,1.89149417852523,2.92231481481481,1.57567917205692,1.38407407407407,frejol_rojo,img10.jpeg
30978,663.478,0.768074847562364,26.1817618056514,249.166889640777,159.55652869976,422.841694105494,1703.31293175802,77.0317644780167,67.5194654270773,66.4270772806508,35.4182489631223,36.7404855437659,29.5411890964517,1.56162139945798,0.884321503809839,14.2101832424301,2,305.5,1614.5,240,179,1.44158796895213,4.52610507139093,1.69227188953956,1.0932576966465,2.87182263137625,11.6708478657494,0.884304326509063,14.2104592702458,2.07487063389392,11.0623148148148,1.63001293661061,1.22648148148148,frejol_rojo,img10.jpeg
36715,701.73,0.480350010088311,15.9185240922764,232.128228660351,203.594304455947,632.98041672341,914.261282854419,75.8012256570884,68.8653683780471,67.083480866131,35.5866542681298,35.5674341001272,28.6588467389842,1.14015089607076,0.936943298489099,13.4120929565573,3,516.5,808.5,241,211,1.70856421589766,4.78705203751617,1.57655006528699,1.39499801201297,4.29902611616805,6.2643828640025,0.936925099048309,13.4123534817496,3.50792367399741,5.53972222222222,1.63680465717982,1.44574074074074,frejol_rojo,img10.jpeg
34048,771.711,0.871139298047515,38.1547639339018,297.896320197808,146.277808415338,1028.38433975564,1575.86742246241,73.7546698778196,67.4640801221804,65.8764978853384,37.0134712741298,37.0696453495036,29.7158707466227,2.03651068760866,0.718442621388159,17.4911262782249,4,903.5,1469.5,251,218,1.58445306885152,5.26444745831536,2.02322856537968,1.00227387247547,6.98449907337271,10.797610116872,0.718428666163792,17.491466037206,6.13631953428202,10.0687962962963,1.70472186287193,1.4937037037037,frejol_rojo,img10.jpeg
40410,759.032,0.798526608376777,72.630045544068,292.983205558255,176.364027837987,1066.08215788171,965.555110121257,77.147141796585,69.5870576589953,67.2895570403365,36.1130690363581,37.0646598948348,29.2506124621108,1.66124129251231,0.881411156062034,14.257104108488,5,973.5,822.5,189,288,1.88051423027167,5.17795403095204,1.98986006362334,1.20842019074176,7.24053212015393,6.61584056934935,0.881394035292642,14.257381047725,6.61173997412678,5.63564814814815,1.28363518758085,1.97333333333333,frejol_rojo,img10.jpeg
32000,661.213,0.554753783647821,13.6932085198789,222.891804883278,185.449228504801,1231.48828125,459.472125,83.77671875,76.08434375,75.1535625,36.725088660379,39.2984810961397,32.3753733369754,1.20190203367445,0.919765414952638,13.6625822302812,6,1115.5,361.5,232,191,1.48914762110105,4.51065372562407,1.51381885593429,1.27067063975512,8.36392429050776,3.14823493055556,0.919747549179718,13.6628476211397,7.57616429495472,2.47694444444444,1.57567917205692,1.3087037037037,frejol_rojo,img10.jpeg
32239,709.893,0.877939475771031,40.159591089771,293.478517294988,140.509189073021,1399.79468966159,1103.22544123577,75.2256583640932,68.0042495114613,66.7282483948013,36.01460339263,36.9263507863993,29.4468864194883,2.08867846459829,0.803906682431515,15.6316285073668,7,1279.5,996.5,242,218,1.50026969239615,4.84273827835274,1.99322408253388,0.962748147352179,9.50701438644676,7.55913728254139,0.803891067130043,15.6319321462573,8.6900064683053,6.82787037037037,1.64359637774903,1.4937037037037,frejol_rojo,img10.jpeg
38719,775.099,0.769373131506666,20.6568633902239,279.616627164897,178.61900174521,1658.92954363491,1811.36875952375,86.1220331103593,75.1826493452827,72.5086391694,37.4163579464141,38.8423724934538,30.5107396544734,1.56543606465652,0.809878077150999,15.5163733516103,8,1529.5,1715.5,272,198,1.80182208566911,5.28755966999665,1.8990779982092,1.22387093788384,11.2669859043768,12.4112303893294,0.809862345859537,15.5166747517098,10.387936610608,11.7543518518519,1.84734799482536,1.35666666666667,frejol_rojo,img10.jpeg
27888,679.141,0.81171949960064,17.386787175153,247.579522165872,144.598194976452,1751.52804073437,1527.85104704532,88.5741537578887,73.7004446356856,72.3454890992542,31.458994382166,35.7235601706154,27.8169150999959,1.71218957612984,0.759814074904294,16.5387441867828,9,1631.5,1452.5,243,156,1.29779215178956,4.63295470880648,1.68149093320935,0.990765410023839,11.8958890218052,10.4686090260513,0.759799316069591,16.5390654460765,11.0806921086675,9.95231481481482,1.65038809831824,1.06888888888889,frejol_rojo,img10.jpeg
